result_name,total_tree_length,internal_tree_length,log_likelihood,log_likelihood_sd,log_likelihood_Unconstrained,num_free_params,AIC,AICc,BIC,cpu_time,wc_time,loop,step
Q.p__Eisenbacteria,1664.338,535.6544,-1560848.1092,5782.7791,-234724.5352,11442.0,3144580.2183,3153610.5519,3243068.3707,37390.0,2303.0,1,subtree_update
Q.p__Eisenbacteria,1738.3328,562.4606,-1557597.445,5757.692,-234724.5352,9991.0,3135176.8899,3141734.0887,3221175.4155,205800.0,8072.0,1,model_update
Q.p__Eisenbacteria,1742.3428,563.2104,-1554713.4908,5753.2726,-234724.5352,10425.0,3130276.9815,3137519.4303,3220011.2053,20610.0,2104.0,2,subtree_update
Q.p__Eisenbacteria,1749.7812,565.2912,-1556422.9065,5759.0624,-234724.5352,9991.0,3132827.8129,3139385.0116,3218826.3385,130000.0,3767.0,2,model_update
Q.p__Eisenbacteria,15.0823,4.827,-1585243.2643,5813.7401,-419317.7588,110.0,3170706.5286,3170707.1341,3171653.3646,596851.0,26789.2,best_model_reftree,reftree_best_concat_model
Q.p__Gemmatimonadota,9054.3274,2976.1584,-9503398.0454,29182.6338,-704769.1004,111445.0,19229686.0907,22010097.8816,20310525.2466,1023000.0,30640.0,1,subtree_update
Q.p__Gemmatimonadota,9470.7145,3091.9518,-9458923.6869,28990.7295,-704769.1004,103857.0,19125561.3738,20431260.4788,20132809.0046,2364000.0,50190.0,1,model_update
Q.p__Gemmatimonadota,9502.9062,3110.693,-9447516.718,28959.9729,-704769.1004,107477.0,19109987.4359,20900626.5626,20152343.3062,1116000.0,35320.0,2,subtree_update
Q.p__Gemmatimonadota,9493.6308,3100.2479,-9453892.1647,28978.7337,-704769.1004,103857.0,19115498.3294,20421197.4344,20122745.9602,4101000.0,83950.0,2,model_update
Q.p__Gemmatimonadota,85.6155,29.518,-9936126.6443,47200.9402,-424617.4509,1082.0,19874417.2886,19874477.1587,19883724.9973,728797.0,25974.0,best_model_reftree,../Result_nova/phylum_models/Q.p__Gemmatimonadota/final_test/logfiles/reftree_best_concat_model
Q.p__Thermotogota,2690.1156,1393.6382,-2628158.1764,10545.9566,-233020.1976,25258.0,5306832.3529,5394613.286,5523836.3729,219400.0,14520.0,1,subtree_update
Q.p__Thermotogota,2834.0904,1477.6441,-2615250.7005,10465.5844,-233020.1976,23696.0,5277893.401,5347656.6153,5481477.5034,568900.0,18260.0,1,model_update
Q.p__Thermotogota,2858.7216,1491.915,-2613064.8369,10461.4309,-233020.1976,24385.0,5274899.6737,5352082.1788,5484403.3172,141600.0,12130.0,2,subtree_update
Q.p__Thermotogota,2867.0408,1496.5109,-2614062.4408,10463.7326,-233020.1976,23696.0,5275516.8816,5345280.096,5479100.984,459100.0,14120.0,2,model_update
Q.p__Thermotogota,25.0406,13.3043,-2662336.6463,10618.682,-414638.039,230.0,5325133.2926,5325135.9784,5327109.3368,437572.0,14860.9,best_model_reftree,reftree_best_concat_model
Q.p__Cloacimonadota,3484.7358,1144.4029,-3314076.003,14658.4395,-238981.8599,30054.0,6688260.006,6860689.7035,6947020.3497,423700.0,27700.0,1,subtree_update
Q.p__Cloacimonadota,3548.9069,1166.0143,-3303268.1104,14590.5029,-238981.8599,28865.0,6664266.2208,6807111.5988,6912789.4563,624900.0,19130.0,1,model_update
Q.p__Cloacimonadota,3571.3008,1171.2949,-3300851.7436,14583.2827,-238981.8599,29863.0,6661429.4872,6828626.4561,6918545.3501,224700.0,17010.0,2,subtree_update
