Zixibacteria,Eisenbacteria,Deferribacterota,Chlamydiota,Synergistota,Fibrobacterota,Deinococcota,Krumholzibacteriota,Marinisomatota,Aquificota,Caldisericota,Dependentiae,Thermotogota,Poribacteria,Fusobacteriota,Cloacimonadota,Bipolaricaulota,Margulisbacteria,Gemmatimonadota
Zixibacteria,0.0,1.103097127984248,0.7054719586203867,0.8102094185962526,0.6365089034606933,0.6326526456113326,1.0696005491344307,0.9461230707033448,0.7272003319030831,1.2740444942954603,0.7841505944808713,0.9502180811054138,1.0044884806288963,0.9050263146593478,1.142446675433339,0.5747733620303841,0.9765539196644538,0.7012307666208728,1.1787315871321737
Eisenbacteria,1.103097127984248,0.0,1.4139311976678126,1.262742412770797,1.010789135044472,1.1357993874303653,0.5195007155596658,0.39559410906443543,1.609164644787674,2.008457355220934,1.420430577816811,1.439880939310634,1.6998575918495835,1.3931066534568248,1.933335381738162,1.5473182117470352,0.672738373359402,1.1815461901612554,0.5325450447377373
Deferribacterota,0.7054719586203867,1.4139311976678126,0.0,0.6471564684749347,0.8154368456538801,0.8061745907930127,1.4595600350814035,1.3206103810408143,0.6550875463960908,1.3586264793975502,0.5712101388400154,0.8292235537067898,0.7416642400325837,1.0543426499018653,0.9180585200273939,0.6544318008677418,1.2981154750394612,0.5181278496014038,1.6242634050358247
Chlamydiota,0.8102094185962526,1.262742412770797,0.6471564684749347,0.0,0.6910878796924537,0.8774323901759327,1.3858381081147513,1.141020247028962,0.7425890759226701,1.6052219580750318,0.5647015940995976,0.5396274792122931,0.8740940161283995,0.9390391606817907,1.2601549544845505,0.856438259429841,1.0753812681840211,0.4491172305348128,1.519257869616067
Synergistota,0.6365089034606933,1.010789135044472,0.8154368456538801,0.6910878796924537,0.0,0.6768923963716512,1.0327380144443996,0.8440823497576508,0.8552397630806239,1.5322461499100455,0.6936314525214974,0.8726912925389345,0.9249406589409749,0.679788155558283,1.2964005808351655,0.8954633063145823,0.7304899041280566,0.7008510702537567,1.1525550842575663
Fibrobacterota,0.6326526456113326,1.1357993874303653,0.8061745907930127,0.8774323901759327,0.6768923963716512,0.0,1.1166428499592398,1.013940036974967,0.9077803388444741,1.5583404826677436,0.9373699574509284,1.0989266522421752,1.1943306833260046,0.9097824011819206,1.0721826717614265,0.7843963137014446,1.1190483532196864,0.7893076837396205,1.1797554239639516
Deinococcota,1.0696005491344307,0.5195007155596658,1.4595600350814035,1.3858381081147513,1.0327380144443996,1.1166428499592398,0.0,0.571168690856535,1.617350850740046,1.8708539893247302,1.5021806474712411,1.4748135450178061,1.7075700179478364,1.3667643972166428,1.8896549210453855,1.4985883154697055,0.8125963779087676,1.2715940427635712,0.48006671946941426
Krumholzibacteriota,0.9461230707033448,0.39559410906443543,1.3206103810408143,1.141020247028962,0.8440823497576508,1.013940036974967,0.571168690856535,0.0,1.4262615698733314,1.9211894247260848,1.2935305048230317,1.2931037555010745,1.5778920917058812,1.2256591621843007,1.839181692889258,1.3805948355442395,0.5962288508659797,1.0803096087875723,0.535985615772434
Marinisomatota,0.7272003319030831,1.609164644787674,0.6550875463960908,0.7425890759226701,0.8552397630806239,0.9077803388444741,1.617350850740046,1.4262615698733314,0.0,1.4427131751332867,0.6716500231788151,0.8292041198589608,0.8137256054764173,0.959090985637433,0.9916778167310352,0.441441578464431,1.3857924521468485,0.7460649469911368,1.7357802261854192
Aquificota,1.2740444942954603,2.008457355220934,1.3586264793975502,1.6052219580750318,1.5322461499100455,1.5583404826677436,1.8708539893247302,1.9211894247260848,1.4427131751332867,0.0,1.3820775034138,1.628112749199753,1.1516867960836736,1.8086859002107099,1.1930582400746303,1.3064001079922412,1.9207145284716898,1.5872162433776484,2.053782792115382
