"Tree1","Tree2","RF_dist","nRF","wRF","KF_dist","SPR_dist","Path_dist","Tree1_BL","Tree2_BL","BL_diff_per"
"FT_All_WAG_G20","FT_All_Final_G20",30,0.0282,10.9134,0.5414,8,78.8234,76.225297517,86.613704122,13.6285550117835
"FT_Test_Final_G20","FT_All_Final_G20",224,0.2105,21.0917,0.8159,60,72.5863,72.337581177,86.613704122,19.7354165189299
"FT_Test_LG_G20","FT_All_Final_G20",236,0.2218,21.7241,0.846,68,83.2879,71.481695103,86.613704122,21.1690685247403
"FT_Test_WAG_G20","FT_All_Final_G20",220,0.2068,27.2097,1.0759,63,132.4347,64.343065776,86.613704122,34.6123363526563
"FT_Train_Final_G20","FT_All_Final_G20",28,0.0263,4.0179,0.1879,12,14.9914,89.491718449,86.613704122,-3.21595604250257
"FT_Train_WAG_G20","FT_All_Final_G20",36,0.0338,8.9783,0.4835,15,68.4803,78.558654508,86.613704122,10.2535483384325
"GTDB_Reference","FT_All_Final_G20",124,0.1165,22.34,0.9833,39,131.7106,66.39753,86.613704122,30.4471779627947
"IQ_All_I_G4","FT_All_Final_G20",40,0.0376,23.2984,0.9764,12,145.4636,109.1381322023,86.613704122,-20.6384584615654
"IQ_concat_test_G20","FT_All_Final_G20",214,0.2011,16.037,0.7382,54,54.9364,87.962468318,86.613704122,-1.53334055056752
"IQ_G4","FT_All_Final_G20",54,0.0508,27.183,1.1152,18,162.2225,112.6565820784,86.613704122,-23.1170495997085
"IQ_I_G4","FT_All_Final_G20",58,0.0545,24.617,1.0057,20,146.1102,110.0469728233,86.613704122,-21.2938785139745
"IQ_partition_genes","FT_All_Final_G20",58,0.0545,4.0416,0.2163,20,15.1946,88.4246801777,86.613704122,-2.04804365937273
"RX_G20","FT_All_Final_G20",52,0.0489,30.4378,1.2694,18,182.2764,115.883912,86.613704122,-25.2582152024692
"RX_G4","FT_All_Final_G20",46,0.0432,26.8467,1.105,16,159.2845,112.440565,86.613704122,-22.9693446293159
"RX_I_G20","FT_All_Final_G20",54,0.0508,27.8575,1.1609,19,165.9928,113.295815,86.613704122,-23.5508353755167
"RX_I_G4","FT_All_Final_G20",54,0.0508,24.6702,1.01,19,146.2642,110.111913,86.613704122,-21.340296647103
"FT_Test_Final_G20","FT_All_WAG_G20",228,0.2143,15.5524,0.6448,64,33.7118,72.337581177,76.225297517,5.37440743351274
"FT_Test_LG_G20","FT_All_WAG_G20",226,0.2124,14.9365,0.6131,64,32.3178,71.481695103,76.225297517,6.63610789750411
"FT_Test_WAG_G20","FT_All_WAG_G20",206,0.1936,17.577,0.6774,58,57.6886,64.343065776,76.225297517,18.4669965561885
"FT_Train_Final_G20","FT_All_WAG_G20",54,0.0508,14.3366,0.6508,17,92.4183,89.491718449,76.225297517,-14.8241883851636
"FT_Train_WAG_G20","FT_All_WAG_G20",50,0.047,3.8404,0.1899,14,13.1752,78.558654508,76.225297517,-2.97020997318938
"GTDB_Reference","FT_All_WAG_G20",122,0.1147,12.3338,0.506,39,55.0012,66.39753,76.225297517,14.8014052887208
"IQ_All_I_G4","FT_All_WAG_G20",44,0.0414,33.6935,1.4896,14,223.6653,109.1381322023,76.225297517,-30.157044124864
"IQ_concat_test_G20","FT_All_WAG_G20",208,0.1955,20.1794,1.0175,51,125.4598,87.962468318,76.225297517,-13.3433849975288
"IQ_G4","FT_All_WAG_G20",52,0.0489,37.4337,1.62,17,240.3246,112.6565820784,76.225297517,-32.338354217108
"IQ_I_G4","FT_All_WAG_G20",60,0.0564,34.9362,1.51,19,224.195,110.0469728233,76.225297517,-30.7338534069508
"IQ_partition_genes","FT_All_WAG_G20",60,0.0564,13.47,0.6427,20,90.9435,88.4246801777,76.225297517,-13.7963548595074
"RX_G20","FT_All_WAG_G20",50,0.047,40.6446,1.7765,16,260.3519,115.883912,76.225297517,-34.222709432695
"RX_G4","FT_All_WAG_G20",52,0.0489,37.2366,1.6114,16,237.4567,112.440565,76.225297517,-32.2083649108309
"RX_I_G20","FT_All_WAG_G20",52,0.0489,38.0615,1.6674,15,244.0644,113.295815,76.225297517,-32.7201119326429
"RX_I_G4","FT_All_WAG_G20",52,0.0489,34.8711,1.513,16,224.2866,110.111913,76.225297517,-30.7747041712008
