result_name,total_tree_length,internal_tree_length,log_likelihood,log_likelihood_sd,log_likelihood_Unconstrained,num_free_params,AIC,AICc,BIC,cpu_time,wc_time,loop,step
p__Acidobacteriota_250,13775.9667,5224.9564,-15154359.6149,36899.9019,-1867505.563,167971.0,30644661.2297,30978599.2675,32446603.0152,2589000.0,96090.0,1,subtree_update
p__Acidobacteriota_250,14427.0365,5469.4815,-15128004.6069,36854.7723,-1867505.563,162080.0,30580169.2138,30880620.2718,32318914.1435,6018000.0,165400.0,1,model_update
p__Acidobacteriota_250,319.9137,124.766,-5320540.6804,59589.6028,-60769.9564,3781.0,10648643.3607,10657866.0257,10674493.3389,54483.1,1140.3,1,test_concat
p__Acidobacteriota_250,15009.3639,5760.8741,-16161449.4454,38619.4365,-1902045.6146,177758.0,32678414.8908,33060244.0883,34588649.7779,2132000.0,47950.0,2,subtree_update
p__Acidobacteriota_250,15169.6925,5831.6464,-16181297.5457,38688.2372,-1902045.6146,176427.0,32715449.0913,33088580.9872,34611380.6974,3935000.0,81080.0,2,model_update
p__Acidobacteriota_250,5890.5874,2284.7581,-5226862.13,20889.7974,-717851.0965,64254.0,10582232.26,10706671.3694,11210635.0127,18360.0,415.3,final_test_partition,test_partition
p__Acidobacteriota_250,320.7193,125.1195,-5320118.9713,59599.222,-60769.9564,3781.0,10647799.9427,10657022.6076,10673649.9208,52553.3,1095.14,final_test_concat,test_concat
p__Acidobacteriota_200,11985.2191,4606.9332,-13382955.2341,32606.1403,-1854645.4614,151123.0,27068156.4682,27313501.5209,28689512.6888,2143000.0,85140.0,1,subtree_update
p__Acidobacteriota_200,12596.4803,4850.7102,-13357505.7021,32560.7379,-1854645.4614,145194.0,27005399.4041,27224881.1673,28563145.049,4978000.0,154700.0,1,model_update
p__Acidobacteriota_200,323.6406,126.3211,-5320381.2672,59609.7634,-60769.9564,3781.0,10648324.5343,10657547.1993,10674174.5125,51909.7,1081.15,1,test_concat
p__Acidobacteriota_200,12989.3524,4971.4083,-13794980.3114,34480.5083,-1873297.7317,153252.0,27896464.6228,28145797.9712,29542625.6385,1924000.0,45190.0,2,subtree_update
p__Acidobacteriota_200,13147.4417,5035.4259,-13814755.5814,34545.6433,-1873297.7317,151788.0,27933087.1628,28175793.5021,29563522.578,3751000.0,76250.0,2,model_update
p__Acidobacteriota_200,5892.0674,2277.6195,-5270555.229,20479.8793,-818181.5905,64201.0,10669512.4579,10764566.5963,11306679.0177,25560.0,552.7,final_test_partition,test_partition
p__Acidobacteriota_200,322.357,125.7949,-5320747.3369,59621.9725,-60769.9564,3781.0,10649056.6737,10658279.3386,10674906.6519,73364.8,1532.78,final_test_concat,test_concat
p__Acidobacteriota_50,3805.8779,1407.1285,-5102404.2569,9669.813,-1836175.2048,49293.0,10303394.5138,10318927.0087,10835752.0478,72310.0,1648.0,1,subtree_update
p__Acidobacteriota_50,3994.3477,1486.2851,-5091393.3227,9668.7039,-1836175.2048,45397.0,10273580.6453,10286592.8593,10763861.922,552800.0,11170.0,1,model_update
p__Acidobacteriota_50,318.8342,124.4763,-5324619.5131,59672.4143,-60769.9564,3781.0,10656801.0262,10666023.6912,10682651.0044,61061.8,1273.78,1,test_concat
p__Acidobacteriota_50,3763.4269,1406.4287,-4570031.0218,9154.2591,-1690056.4313,43549.0,9227160.0437,9239995.4019,9694613.4769,88540.0,2673.0,2,subtree_update
p__Acidobacteriota_50,3783.164,1413.8563,-4577933.7987,9182.4219,-1690056.4313,42826.0,9241519.5973,9253902.0192,9701212.374,309600.0,6276.0,2,model_update
p__Acidobacteriota_50,5075.0356,1832.3457,-5804126.3876,10041.8165,-2300879.7132,60283.0,11728818.7751,11746628.4965,12395370.9297,32490.0,670.4,final_test_partition,test_partition
p__Acidobacteriota_50,316.7255,123.6054,-5324771.4668,59673.1997,-60769.9564,3781.0,10657104.9336,10666327.5985,10682954.9118,140794.0,3023.71,final_test_concat,test_concat
p__Acidobacteriota_150,8400.1374,3130.0033,-8856495.326,22753.7427,-1746509.4984,101217.0,17915424.6521,18004695.4302,18999367.6208,696700.0,21040.0,1,subtree_update
p__Acidobacteriota_150,8804.5201,3285.6205,-8840252.63,22731.9871,-1746509.4984,96105.0,17872715.26,17951443.0631,18901913.3098,1557000.0,73700.0,1,model_update
p__Acidobacteriota_150,322.2207,125.7145,-5321786.5055,59623.3605,-60769.9564,3781.0,10651135.0109,10660357.6759,10676984.9891,1156670.0,47402.1,1,test_concat
p__Acidobacteriota_150,8161.0037,3043.5121,-9044609.3205,23112.5479,-1814954.0722,93819.0,18276856.6409,18347711.8818,19284788.3027,962800.0,38950.0,2,subtree_update
p__Acidobacteriota_150,8312.3112,3088.9734,-9059170.9304,23165.9814,-1814954.0722,92583.0,18303507.8609,18372166.9085,19298160.7249,1504000.0,33150.0,2,model_update
p__Acidobacteriota_150,5801.9619,2188.0841,-5472881.8897,16814.5098,-1266540.2812,63495.0,11072753.7793,11117555.6831,11733277.3709,25730.0,545.8,final_test_partition,test_partition
p__Acidobacteriota_100,6081.7066,2230.5137,-7134757.9971,16384.3799,-1825341.5036,76024.0,14421563.9942,14464126.4388,15239494.4319,377000.0,12210.0,1,subtree_update
p__Acidobacteriota_100,6370.726,2335.27,-7122198.3688,16374.0415,-1825341.5036,71254.0,14386904.7375,14423648.4089,15153515.4842,891900.0,18270.0,1,model_update
p__Acidobacteriota_100,320.4833,125.0323,-5322568.1252,59630.9576,-60769.9564,3781.0,10652698.2503,10661920.9152,10678548.2285,78368.2,1661.61,1,test_concat
p__Acidobacteriota_100,6284.4281,2337.0935,-7087228.4756,16764.0935,-1739270.1959,74859.0,14324174.9511,14367527.9968,15126443.0654,402100.0,26250.0,2,subtree_update
p__Acidobacteriota_100,6360.6066,2356.2573,-7098266.1311,16797.1435,-1739270.1959,73680.0,14343892.2623,14385699.8214,15133524.9673,1384000.0,52960.0,2,model_update
p__Acidobacteriota_100,5506.4949,2041.5111,-5527845.3119,13804.8264,-1565903.9955,62415.0,11180520.6238,11212617.1073,11843905.1854,58070.0,1978.0,final_test_partition,test_partition
