"count","model","test"
336,"LG","p__Acidobacteriota_100"
326,"Q.PFAM","p__Acidobacteriota_100"
261,"Q.INSECT","p__Acidobacteriota_100"
77,"Q.YEAST","p__Acidobacteriota_100"
349,"LG","p__Acidobacteriota_150"
320,"Q.PFAM","p__Acidobacteriota_150"
256,"Q.INSECT","p__Acidobacteriota_150"
75,"Q.YEAST","p__Acidobacteriota_150"
346,"Q.PFAM","p__Acidobacteriota_200"
303,"Q.INSECT","p__Acidobacteriota_200"
271,"LG","p__Acidobacteriota_200"
80,"Q.YEAST","p__Acidobacteriota_200"
364,"Q.PFAM","p__Acidobacteriota_250"
299,"Q.INSECT","p__Acidobacteriota_250"
258,"LG","p__Acidobacteriota_250"
79,"Q.YEAST","p__Acidobacteriota_250"
357,"Q.PFAM","p__Acidobacteriota_50"
343,"LG","p__Acidobacteriota_50"
243,"Q.INSECT","p__Acidobacteriota_50"
57,"Q.YEAST","p__Acidobacteriota_50"
