model1,model2,Q_params correlation,state_freq correlation,Q_matrix correlation,Q_params distance,state_freq distance,Q_matrix distance
p__Acidobacteriota_250_2,p__Acidobacteriota_250_2,1.0,1.0,1.0,0.0,0.0,0.0
p__Acidobacteriota_250_2,p__Acidobacteriota_200_2,0.999563141350515,0.9995008410100525,0.9998954537707365,0.004155210200431117,0.005040952687736715,0.08608289219446866
p__Acidobacteriota_250_2,p__Acidobacteriota_50_2,0.9829437029457423,0.9902545066061172,0.9923809641011845,0.025403961661389654,0.02251258874496667,0.7160105817243567
p__Acidobacteriota_250_2,p__Acidobacteriota_150_2,0.9969569711838563,0.9977163796338102,0.9987766024946517,0.010852381382724563,0.01109844223303433,0.30353616614170037
p__Acidobacteriota_250_2,p__Acidobacteriota_100_2,0.9940218132928309,0.99596198896779,0.9977151795725264,0.015179036294750084,0.014221158708065946,0.4075876571934504
p__Acidobacteriota_200_2,p__Acidobacteriota_250_2,0.999563141350515,0.9995008410100525,0.9998954537707365,0.004155210200431117,0.005040952687736715,0.08608289219446866
p__Acidobacteriota_200_2,p__Acidobacteriota_200_2,1.0,0.9999999999999998,1.0,0.0,0.0,0.0
p__Acidobacteriota_200_2,p__Acidobacteriota_50_2,0.9870495369035552,0.9936599702936011,0.9937546208286057,0.022025716535625357,0.018039773612770198,0.6441754812873731
p__Acidobacteriota_200_2,p__Acidobacteriota_150_2,0.9985177876779564,0.9991893847925698,0.9992619344657069,0.007508649401644193,0.006583708833172989,0.23493397765081472
p__Acidobacteriota_200_2,p__Acidobacteriota_100_2,0.9963888800252233,0.9980854153016097,0.9984005072383039,0.011720653972109562,0.009621273772219554,0.3389927200983994
p__Acidobacteriota_50_2,p__Acidobacteriota_250_2,0.9829437029457423,0.9902545066061172,0.9923809641011845,0.025403961661389654,0.02251258874496667,0.7160105817243567
p__Acidobacteriota_50_2,p__Acidobacteriota_200_2,0.9870495369035552,0.9936599702936011,0.9937546208286057,0.022025716535625357,0.018039773612770198,0.6441754812873731
p__Acidobacteriota_50_2,p__Acidobacteriota_50_2,1.0,1.0,0.9999999999999998,0.0,0.0,0.0
p__Acidobacteriota_50_2,p__Acidobacteriota_150_2,0.9933909720240403,0.9968370496689442,0.9968466313251879,0.01565329972835074,0.012275200690823754,0.44206446904745794
p__Acidobacteriota_50_2,p__Acidobacteriota_100_2,0.9962833311434339,0.9982090110933619,0.9982547652242725,0.011694486481572744,0.009519880724042716,0.3263678001334044
p__Acidobacteriota_150_2,p__Acidobacteriota_250_2,0.9969569711838563,0.9977163796338102,0.9987766024946517,0.010852381382724563,0.01109844223303433,0.30353616614170037
p__Acidobacteriota_150_2,p__Acidobacteriota_200_2,0.9985177876779564,0.9991893847925698,0.9992619344657069,0.007508649401644193,0.006583708833172989,0.23493397765081472
p__Acidobacteriota_150_2,p__Acidobacteriota_50_2,0.9933909720240403,0.9968370496689442,0.9968466313251879,0.01565329972835074,0.012275200690823754,0.44206446904745794
p__Acidobacteriota_150_2,p__Acidobacteriota_150_2,1.0,1.0,1.0,0.0,0.0,0.0
p__Acidobacteriota_150_2,p__Acidobacteriota_100_2,0.9990150390115112,0.999595172486698,0.9996450551652855,0.006084309121703916,0.003980188563372341,0.14881646605477647
p__Acidobacteriota_100_2,p__Acidobacteriota_250_2,0.9940218132928309,0.99596198896779,0.9977151795725264,0.015179036294750084,0.014221158708065946,0.4075876571934504
p__Acidobacteriota_100_2,p__Acidobacteriota_200_2,0.9963888800252233,0.9980854153016097,0.9984005072383039,0.011720653972109562,0.009621273772219554,0.3389927200983994
p__Acidobacteriota_100_2,p__Acidobacteriota_50_2,0.9962833311434339,0.9982090110933619,0.9982547652242725,0.011694486481572744,0.009519880724042716,0.3263678001334044
p__Acidobacteriota_100_2,p__Acidobacteriota_150_2,0.9990150390115112,0.999595172486698,0.9996450551652855,0.006084309121703916,0.003980188563372341,0.14881646605477647
p__Acidobacteriota_100_2,p__Acidobacteriota_100_2,1.0,1.0,1.0,0.0,0.0,0.0
