"Tree1","Tree2","RF_dist","nRF","wRF","KF_dist","SPR_dist","Path_dist","Tree1_BL","Tree2_BL","BL_diff_per"
"p__Acidobacteriota_100_2","p__Acidobacteriota_150_2",16,0.0042,2.0645,0.1111,5,21.3648,301.793671685,303.353271877,0.516776969938539
"p__Acidobacteriota_100_2","p__Acidobacteriota_200_2",14,0.0037,3.171,0.1326,6,31.4939,301.793671685,304.314682936,0.835342648811846
"p__Acidobacteriota_100_2","p__Acidobacteriota_250_2",20,0.0053,2.9528,0.1393,7,28.3048,301.793671685,303.651818779,0.615701145628879
"p__Acidobacteriota_100_2","p__Acidobacteriota_50_2",18,0.0048,2.2572,0.1087,6,25.2431,301.793671685,300.422835567,-0.454229576898094
"p__Acidobacteriota_100_2","ref_tree",642,0.17,89.9109,2.213,194,699.5267,301.793671685,224.21641,-25.7053970853213
"p__Acidobacteriota_150_2","p__Acidobacteriota_200_2",18,0.0048,1.791,0.1264,5,34.9955,303.353271877,304.314682936,0.316927868636875
"p__Acidobacteriota_150_2","p__Acidobacteriota_250_2",12,0.0032,1.5281,0.1156,3,34.6969,303.353271877,303.651818779,0.0984155866039412
"p__Acidobacteriota_150_2","p__Acidobacteriota_50_2",22,0.0058,3.7699,0.1371,7,27.2838,303.353271877,300.422835567,-0.966014406855714
"p__Acidobacteriota_150_2","ref_tree",630,0.1668,91.2315,2.248,194,711.646,303.353271877,224.21641,-26.0873605836984
"p__Acidobacteriota_200_2","p__Acidobacteriota_250_2",6,0.0016,0.8493,0.0631,2,9.9895,304.314682936,303.651818779,-0.217821943589691
"p__Acidobacteriota_200_2","p__Acidobacteriota_50_2",28,0.0074,5.1846,0.1827,8,51.0946,304.314682936,300.422835567,-1.27888911946404
"p__Acidobacteriota_200_2","ref_tree",644,0.1706,92.4317,2.2687,194,724.3116,304.314682936,224.21641,-26.3208702791529
"p__Acidobacteriota_250_2","p__Acidobacteriota_50_2",34,0.009,4.9881,0.188,10,48.7306,303.651818779,300.422835567,-1.06338345839123
"p__Acidobacteriota_250_2","ref_tree",638,0.169,91.672,2.2429,192,716.6703,303.651818779,224.21641,-26.1600306227093
"p__Acidobacteriota_50_2","ref_tree",642,0.17,88.6261,2.1987,194,691.2426,300.422835567,224.21641,-25.366389150536
