result_name,total_tree_length,internal_tree_length,log_likelihood,log_likelihood_sd,log_likelihood_Unconstrained,num_free_params,AIC,AICc,BIC,cpu_time,wc_time,loop,step
p__Acidobacteriota_250,10622.4718,4097.9991,-11660399.372,32207.894,-800068.0428,135767.0,23592332.7441,207920473.3041,24925588.422,3990000.0,155900.0,1,subtree_update
p__Acidobacteriota_250_loop_1,11104.0296,4292.0703,-11638720.0623,32164.2372,-800068.0428,132935.0,23543310.1246,35200201.391,24848755.0673,4773000.0,110400.0,1,model_update
p__Acidobacteriota_250,324.9898,126.9113,-5319430.463,59627.0852,-60769.9564,3781.0,10646422.926,10655645.5909,10672272.9041,43416.1,905.706,1,test_concat
p__Acidobacteriota_250,11259.6693,4216.9059,-11756907.3982,32797.4676,-802650.0802,134532.0,23782878.7964,40510229.5875,25104725.9324,2247000.0,94780.0,2,subtree_update
p__Acidobacteriota_250_loop_2,11349.2759,4240.7159,-11764435.1216,32807.6274,-802650.0802,133524.0,23795918.2431,35037275.1788,25107861.2529,5855000.0,162400.0,2,model_update
p__Acidobacteriota_250,322.1041,125.533,-5322557.5927,59614.7126,-60769.9564,3781.0,10652677.1854,10661899.8504,10678527.1636,90178.5,2158.94,2,test_concat
p__Acidobacteriota_250,11266.9902,4196.7927,-11528988.821,32597.3556,-794759.2393,134136.0,23326249.642,51638760.4713,24642935.0192,2431000.0,77060.0,3,subtree_update
p__Acidobacteriota_250_loop_3,11395.5456,4237.6038,-11540576.3537,32643.1014,-794759.2393,133660.0,23348472.7075,43800824.4648,24660485.646,3439000.0,72930.0,3,model_update
p__Acidobacteriota_250,5863.3531,2277.8837,-5184355.588,20697.1677,-687539.836,64051.0,10496813.176,10633927.3985,11119848.8872,25550.0,566.9,final_test,test_partition
p__Acidobacteriota_160,10751.5263,4124.9224,-11922671.5541,29039.889,-1174967.0403,151466.0,24148275.1083,25017771.6356,25697324.1397,3165000.0,135700.0,1,subtree_update
p__Acidobacteriota_160,11295.2013,4369.1864,-11902354.193,29011.284,-1174967.0403,147665.0,24100038.386,24870917.9692,25610214.4336,5405000.0,124200.0,1,model_update
p__Acidobacteriota_160,323.5068,126.3896,-5319640.8097,59647.8849,-60769.9564,3781.0,10646843.6194,10656066.2844,10672693.5976,44513.3,918.88,1,test_concat
p__Acidobacteriota_160,11208.887,4133.2901,-11958762.7287,29100.2064,-1177469.2698,147264.0,24212053.4574,24971316.5936,25718238.7394,1387000.0,32530.0,2,subtree_update
p__Acidobacteriota_160,11324.3457,4191.0319,-11975408.1623,29147.0947,-1177469.2698,145990.0,24242796.3247,24972701.3277,25735951.4021,3292000.0,130900.0,2,model_update
p__Acidobacteriota_160,5830.3174,2197.4349,-5217817.1206,16931.6429,-1006031.8826,62695.0,10561024.2412,10624863.2232,11196290.5291,39300.0,1168.0,final_test,test_partition
p__Acidobacteriota_30,12073.8411,4260.5921,-15647507.9658,14419.2368,-6032418.527,163949.0,31622913.9316,31675126.0255,33589066.3404,384000.0,17720.0,1,subtree_update
p__Acidobacteriota_30,12919.2576,4528.4404,-15600940.5145,14398.9575,-6032418.527,149318.0,31500517.0289,31543219.2292,33291207.7032,3087000.0,123800.0,1,model_update
p__Acidobacteriota_30,317.0206,123.7063,-5326783.067,59698.7485,-60769.9564,3781.0,10661128.1339,10670350.7989,10686978.1121,79794.1,1707.88,1,test_concat
p__Acidobacteriota_30,12066.8005,4338.8674,-15201141.1375,14181.2792,-5977141.3508,152863.0,30708008.2751,30753039.2091,32540842.941,303000.0,7178.0,2,subtree_update
p__Acidobacteriota_30,12103.0499,4393.5186,-15225343.9553,14219.6621,-5977141.3508,149822.0,30750331.9107,30793462.6347,32546704.8414,1853000.0,45370.0,2,model_update
p__Acidobacteriota_30,2489.1819,805.3551,-3938754.0268,4640.9158,-2624060.9142,31622.0,7940752.0537,7944218.7563,8298675.1944,9732.0,228.3,final_test,test_partition
p__Acidobacteriota_50,12104.663,4385.072,-14133632.7221,17785.1538,-3615048.6017,156515.0,28580295.4443,28674110.938,30368951.5234,595500.0,25560.0,1,subtree_update
p__Acidobacteriota_50,12590.8118,4574.4801,-14112544.1942,17780.3633,-3615048.6017,145703.0,28516494.3885,28596147.0674,30181590.748,3043000.0,120100.0,1,model_update
p__Acidobacteriota_50,320.5559,125.093,-5323573.9556,59638.9237,-60769.9564,3781.0,10654709.9113,10663932.5762,10680559.8894,104121.0,2739.42,1,test_concat
p__Acidobacteriota_50,12995.6269,4737.2902,-14461838.3442,18076.9714,-3659029.7405,149285.0,29222246.6884,29305432.8705,30929667.0183,507700.0,11190.0,2,subtree_update
p__Acidobacteriota_50,13030.7207,4745.4955,-14494495.8508,18135.6894,-3659029.7405,146016.0,29281023.7016,29360124.0193,30951055.4322,2606000.0,60560.0,2,model_update
p__Acidobacteriota_50,2495.3341,799.3208,-3940939.327,4640.6106,-2624060.9142,31581.0,7945040.654,7948498.1273,8302499.7239,7817.0,169.6,final_test,test_partition
p__Acidobacteriota_100,10832.5943,3922.4682,-12516849.0541,24497.9092,-1902488.4306,163722.0,25361142.1081,25663419.5533,27119494.0462,1311000.0,56080.0,1,subtree_update
p__Acidobacteriota_100,11420.8903,4207.3917,-12488736.6424,24473.033,-1902488.4306,157432.0,25292337.2848,25562261.6172,26983135.4812,3060000.0,108400.0,1,model_update
p__Acidobacteriota_100,325.7612,127.2362,-5320918.1361,59651.2002,-60769.9564,3781.0,10649398.2723,10658620.9372,10675248.2504,149130.0,4025.4,1,test_concat
p__Acidobacteriota_100,11330.6031,4064.0428,-12673068.4192,24627.1488,-1920430.3709,159031.0,25664198.8384,25937877.0927,27373460.104,1484000.0,37600.0,2,subtree_update
p__Acidobacteriota_100,11517.5618,4154.4895,-12687639.6361,24667.3378,-1920430.3709,157529.0,25690337.2721,25956705.6432,27383455.0788,2408000.0,49760.0,2,model_update
p__Acidobacteriota_100,2527.4496,811.6706,-3943684.919,4639.3971,-2624060.9142,31612.0,7950593.838,7954058.2884,8308403.7908,6413.0,139.3,final_test,test_partition
