"Tree1","Tree2","RF_dist","nRF","wRF","KF_dist","SPR_dist","Path_dist","Tree1_BL","Tree2_BL","BL_diff_per"
"p__Acidobacteriota_at_100_2","p__Acidobacteriota_at_150_2",16,0.0042,2.0645,0.1111,5,21.3648,301.793671685,303.353271877,0.516776969938539
"p__Acidobacteriota_at_100_2","p__Acidobacteriota_at_200_2",14,0.0037,3.171,0.1326,6,31.4939,301.793671685,304.314682936,0.835342648811846
"p__Acidobacteriota_at_100_2","p__Acidobacteriota_at_250_2",20,0.0053,2.9528,0.1393,7,28.3048,301.793671685,303.651818779,0.615701145628879
"p__Acidobacteriota_at_100_2","p__Acidobacteriota_at_50_2",18,0.0048,2.2572,0.1087,6,25.2431,301.793671685,300.422835567,-0.454229576898094
"p__Acidobacteriota_at_100_2","p__Acidobacteriota_lt_100_2",12,0.0032,5.2951,0.1655,5,54.1682,301.793671685,306.654890834,1.61077570707777
"p__Acidobacteriota_at_100_2","p__Acidobacteriota_lt_160_2",24,0.0064,5.515,0.1714,9,57.5852,301.793671685,306.639984093,1.60583632550732
"p__Acidobacteriota_at_100_2","p__Acidobacteriota_lt_250_3",50,0.0132,5.7951,0.2132,16,37.7727,301.793671685,304.673081805,0.95409890602524
"p__Acidobacteriota_at_100_2","p__Acidobacteriota_lt_30_2",16,0.0042,1.5925,0.1083,6,18.8355,301.793671685,301.81844298,0.00820802333650287
"p__Acidobacteriota_at_100_2","p__Acidobacteriota_lt_50_2",4,0.0011,1.1186,0.0871,2,19.1853,301.793671685,300.897597722,-0.296916087735358
"p__Acidobacteriota_at_100_2","ref_tree",642,0.17,89.9109,2.213,194,699.5267,301.793671685,224.21641,-25.7053970853213
"p__Acidobacteriota_at_150_2","p__Acidobacteriota_at_200_2",18,0.0048,1.791,0.1264,5,34.9955,303.353271877,304.314682936,0.316927868636875
"p__Acidobacteriota_at_150_2","p__Acidobacteriota_at_250_2",12,0.0032,1.5281,0.1156,3,34.6969,303.353271877,303.651818779,0.0984155866039412
"p__Acidobacteriota_at_150_2","p__Acidobacteriota_at_50_2",22,0.0058,3.7699,0.1371,7,27.2838,303.353271877,300.422835567,-0.966014406855714
"p__Acidobacteriota_at_150_2","p__Acidobacteriota_lt_100_2",20,0.0053,3.9399,0.153,6,50.3841,303.353271877,306.654890834,1.08837426956737
"p__Acidobacteriota_at_150_2","p__Acidobacteriota_lt_160_2",28,0.0074,3.9912,0.146,8,53.4612,303.353271877,306.639984093,1.08346028235116
"p__Acidobacteriota_at_150_2","p__Acidobacteriota_lt_250_3",50,0.0132,4.7682,0.2077,15,43.6652,303.353271877,304.673081805,0.435073576043421
"p__Acidobacteriota_at_150_2","p__Acidobacteriota_lt_30_2",12,0.0032,2.2936,0.085,5,15.0186,303.353271877,301.81844298,-0.505954291345944
"p__Acidobacteriota_at_150_2","p__Acidobacteriota_lt_50_2",20,0.0053,3.1338,0.1495,6,36.9692,303.353271877,300.897597722,-0.80950969798529
"p__Acidobacteriota_at_150_2","ref_tree",630,0.1668,91.2315,2.248,194,711.646,303.353271877,224.21641,-26.0873605836984
"p__Acidobacteriota_at_200_2","p__Acidobacteriota_at_250_2",6,0.0016,0.8493,0.0631,2,9.9895,304.314682936,303.651818779,-0.217821943589691
"p__Acidobacteriota_at_200_2","p__Acidobacteriota_at_50_2",28,0.0074,5.1846,0.1827,8,51.0946,304.314682936,300.422835567,-1.27888911946404
"p__Acidobacteriota_at_200_2","p__Acidobacteriota_lt_100_2",2,5e-04,2.4138,0.0732,1,26.5663,304.314682936,306.654890834,0.769009196474487
"p__Acidobacteriota_at_200_2","p__Acidobacteriota_lt_160_2",14,0.0037,2.7719,0.1052,5,32.9947,304.314682936,306.639984093,0.76411073385146
"p__Acidobacteriota_at_200_2","p__Acidobacteriota_lt_250_3",44,0.0117,3.5068,0.1699,13,28.2503,304.314682936,304.673081805,0.117772453679259
"p__Acidobacteriota_at_200_2","p__Acidobacteriota_lt_30_2",18,0.0048,3.6475,0.1389,7,42.2235,304.314682936,301.81844298,-0.820282456277337
"p__Acidobacteriota_at_200_2","p__Acidobacteriota_lt_50_2",14,0.0037,3.8049,0.1176,5,30.5755,304.314682936,300.897597722,-1.12287885061354
"p__Acidobacteriota_at_200_2","ref_tree",644,0.1706,92.4317,2.2687,194,724.3116,304.314682936,224.21641,-26.3208702791529
"p__Acidobacteriota_at_250_2","p__Acidobacteriota_at_50_2",34,0.009,4.9881,0.188,10,48.7306,303.651818779,300.422835567,-1.06338345839123
