model1,model2,Q_params correlation,state_freq correlation,Q_matrix correlation,Q_params distance,state_freq distance,Q_matrix distance
p__Patescibacteria_100_2,DAYHOFF,0.8544745261510781,0.7708637417806137,0.9350353731749532,0.07065824200212127,0.07905862608103685,1.8869563465645025
p__Patescibacteria_100_2,DCMUT,0.8549949185330346,0.7708637417806137,0.9352650490515152,0.07034338890335193,0.07905862608103685,1.8829601728879979
p__Patescibacteria_100_2,JTT,0.9227295914793199,0.8670296594346502,0.9707056564726294,0.048925138443315024,0.06414758470633948,1.2862206814120012
p__Patescibacteria_100_2,MTREV,0.8862254339548803,0.47962820429048697,0.9308529173629153,0.06349673558938146,0.14752384185954487,1.9286504568154537
p__Patescibacteria_100_2,WAG,0.9339920091104272,0.8327462613470099,0.9651619531134258,0.04513189085596451,0.06884110787357291,1.3871617444103181
p__Patescibacteria_100_2,RTREV,0.9387582934932436,0.8366233820683442,0.98614277157507,0.043507198778927954,0.06803066894423426,0.8851048274030554
p__Patescibacteria_100_2,CPREV,0.8537360840511913,0.8074365946245707,0.9415400987257286,0.06801874718408904,0.07319557306968776,1.7819502085277257
p__Patescibacteria_100_2,VT,0.9506637536574393,0.8944087213696975,0.9751569763586454,0.044824110724867826,0.05752906610825462,1.222857427132336
p__Patescibacteria_100_2,BLOSUM62,0.9051237785386617,0.8712126477667765,0.9655589856835783,0.05620682491703321,0.06283201347243299,1.3932422642358935
p__Patescibacteria_100_2,MTMAM,0.8360809315834761,0.4687933378515668,0.8747478406800671,0.10878301415807347,0.1488336088287857,2.730668404220987
p__Patescibacteria_100_2,LG,0.9794211087523479,0.9324038026869841,0.9918583899462311,0.025368333587309853,0.048294723658361495,0.691385598780871
p__Patescibacteria_100_2,MTART,0.8733279747212065,0.44599650549745684,0.8885592326202727,0.07961044167328869,0.14598793077854072,2.47615252167765
p__Patescibacteria_100_2,MTZOA,0.897318863298617,0.4924919942129465,0.9169691539415636,0.06701094246542022,0.14115784139273063,2.136002583199432
p__Patescibacteria_100_2,PMB,0.8976243569095246,0.8142880349912531,0.9622255083366773,0.05880131112419569,0.07276477006066123,1.4548620080801669
p__Patescibacteria_100_2,HIVB,0.8329755254757902,0.8312265241502329,0.9307285340173271,0.08290626070621215,0.06996598277100347,1.9619299687939162
p__Patescibacteria_100_2,HIVW,0.6893521178900482,0.6113069682960792,0.8704647298835114,0.11654366908481853,0.10342805859649498,2.6793520627212635
p__Patescibacteria_100_2,JTTDCMUT,0.9254259235234277,0.8659442432217263,0.9698982278989888,0.0481480467283462,0.06437047908643372,1.3009189474718954
p__Patescibacteria_100_2,FLU,0.812240351140874,0.6875001104508973,0.9208902870207484,0.09790903684776664,0.09042168012738205,2.108758780640262
p__Patescibacteria_100_2,MTMET,0.8668788820056836,0.46897336098182785,0.9277339642908079,0.07299732631263235,0.14724577146645743,1.9704176584846806
p__Patescibacteria_100_2,MTVER,0.8387910917364065,0.4794304934347518,0.9066682804648819,0.09174695849136069,0.15598897367089093,2.2700308066270085
p__Patescibacteria_100_2,MTINV,0.8966961182758901,0.43267701502499883,0.9401980748756918,0.0586624591280333,0.1594407492101415,1.8156134099281767
p__Patescibacteria_100_2,Q.PFAM,0.9780115301472927,0.891491561493933,0.9914281087554223,0.026472818374761672,0.05677162599397696,0.6924073739437473
p__Patescibacteria_100_2,Q.PFAM_GB,0.9820963924008865,0.8764018721928525,0.9921148912055546,0.024158127266801176,0.059732700198467506,0.661628505299405
p__Patescibacteria_100_2,Q.LG,0.9712610338068641,0.8892982171454564,0.9907432119009664,0.030013233549212932,0.05776802097181451,0.7216642351070873
p__Patescibacteria_100_2,Q.BIRD,0.8119769373734884,0.8215160407864299,0.9521147391747267,0.08468856473657367,0.07070328485296848,1.6339305053474622
p__Patescibacteria_100_2,Q.INSECT,0.970911359351372,0.9272836227728828,0.9883285140219715,0.03092170747146793,0.04668265128503307,0.8191112307722854
p__Patescibacteria_100_2,Q.MAMMAL,0.8587988131109806,0.7822262443001841,0.9583531751026805,0.07026440442415477,0.07751268501348667,1.5146652206396152
