"count","model","test"
397,"LG","p__Patescibacteria_100"
361,"Q.YEAST","p__Patescibacteria_100"
133,"Q.PFAM","p__Patescibacteria_100"
76,"Q.INSECT","p__Patescibacteria_100"
32,"Q.PLANT","p__Patescibacteria_100"
1,"MTART","p__Patescibacteria_100"
361,"Q.YEAST","p__Patescibacteria_150"
340,"LG","p__Patescibacteria_150"
181,"Q.PFAM","p__Patescibacteria_150"
100,"Q.INSECT","p__Patescibacteria_150"
17,"Q.PLANT","p__Patescibacteria_150"
1,"MTMET","p__Patescibacteria_150"
383,"LG","p__Patescibacteria_200"
324,"Q.YEAST","p__Patescibacteria_200"
162,"Q.PFAM","p__Patescibacteria_200"
102,"Q.INSECT","p__Patescibacteria_200"
388,"LG","p__Patescibacteria_250"
332,"Q.YEAST","p__Patescibacteria_250"
170,"Q.PFAM","p__Patescibacteria_250"
91,"Q.INSECT","p__Patescibacteria_250"
397,"LG","p__Patescibacteria_50"
340,"Q.YEAST","p__Patescibacteria_50"
132,"Q.PFAM","p__Patescibacteria_50"
90,"Q.INSECT","p__Patescibacteria_50"
41,"Q.PLANT","p__Patescibacteria_50"
