"Phylum","n_species","n_classes","mean_integrity"
"p__Proteobacteria",17350,4,0.880766541786744
"p__Bacteroidota",8588,11,0.856930688169539
"p__Firmicutes_A",8243,5,0.817374833191799
"p__Actinobacteriota",7328,9,0.889477881641194
"p__Firmicutes",4216,2,0.891665065623023
"p__Patescibacteria",2485,24,0.637154862508384
"p__Chloroflexota",1387,12,0.782888848834415
"p__Cyanobacteria",1372,3,0.825940840621963
"p__Verrucomicrobiota",1325,3,0.763163647798742
"p__Planctomycetota",1071,25,0.768466153127918
"p__Desulfobacterota",939,28,0.832917642882499
"p__Acidobacteriota",873,13,0.821873520427644
"p__Spirochaetota",695,11,0.799935251798561
"p__Campylobacterota",550,2,0.863168787878788
"p__Firmicutes_C",395,2,0.859991772151899
"p__Myxococcota",393,16,0.820838846480068
"p__Firmicutes_B",323,10,0.890883642930857
"p__Nitrospirota",314,6,0.836499203821656
"p__Omnitrophota",282,4,0.722013593380615
"p__Gemmatimonadota",237,2,0.802883263009845
"p__Desulfobacterota_I",236,1,0.859020833333333
"p__Bdellovibrionota",224,8,0.818191964285714
"p__Elusimicrobiota",189,4,0.793463403880071
"p__Marinisomatota",186,7,0.746552867383513
"p__Chlamydiota",171,1,0.765091130604288
"p__Deinococcota",144,1,0.861099537037037
"p__Armatimonadota",139,12,0.8363603117506
"p__Synergistota",132,3,0.822087752525253
"p__Firmicutes_G",131,7,0.873557251908397
"p__Fibrobacterota",120,3,0.791019444444444
"p__Firmicutes_D",104,3,0.813608974358974
"p__Fusobacteriota",96,1,0.886782118055556
"p__Dormibacterota",88,1,0.783636363636364
"p__Thermotogota",83,1,0.875404618473896
"p__Eremiobacterota",81,6,0.7877170781893
"p__WOR-3",77,7,0.779731601731602
"p__Aquificota",76,2,0.821491228070175
"p__Methylomirabilota",76,1,0.795575657894737
"p__Myxococcota_A",72,2,0.808636574074074
"p__Desulfobacterota_B",66,1,0.822236111111111
"p__Firmicutes_E",65,8,0.859024358974359
"p__Dependentiae",61,1,0.719109289617486
"p__Cloacimonadota",60,1,0.798091666666667
"p__Nitrospinota",60,5,0.784031944444444
"p__Margulisbacteria",54,4,0.772753086419753
"p__Firmicutes_F",49,1,0.875005102040816
"p__Zixibacteria",47,1,0.814078014184397
"p__Bipolaricaulota",46,1,0.717704710144928
"p__Hydrogenedentota",42,1,0.80885119047619
"p__SAR324",40,1,0.751835416666667
"p__Atribacterota",37,2,0.736274774774775
"p__Latescibacterota",37,5,0.79865990990991
"p__KSB1",36,1,0.81480787037037
"p__Krumholzibacteriota",35,1,0.814104761904762
"p__Poribacteria",34,2,0.809164215686275
"p__UBA10199",33,1,0.872242424242424
"p__Eisenbacteria",31,1,0.820231182795699
"p__Desulfobacterota_G",30,1,0.818708333333333
"p__Caldisericota",26,1,0.751599358974359
"p__Desulfobacterota_D",26,1,0.85249358974359
"p__Riflebacteria",22,1,0.791556818181818
"p__AABM5-125-24",21,5,0.851289682539683
"p__CSP1-3",21,1,0.7565
"p__Desulfobacterota_E",21,1,0.815198412698413
"p__Deferribacterota",19,1,0.882890350877193
"p__Sumerlaeota",19,1,0.796938596491228
"p__Calditrichota",18,1,0.878722222222222
"p__UBP6",18,1,0.850287037037037
"p__Bdellovibrionota_C",17,1,0.832504901960784
"p__Firmicutes_H",17,1,0.852519607843137
"p__Desulfobacterota_C",16,3,0.873786458333333
"p__Fermentibacterota",15,2,0.784988888888889
"p__CG03",13,2,0.709423076923077
"p__UBA3054",13,1,0.696782051282051
"p__DTU030",11,1,0.870856060606061
"p__Delongbacteria",11,1,0.831681818181818
"p__QNDG01",11,1,0.831098484848485
